category,img_size,feature_choice,patch_grid,patch_top_fraction,threshold,auroc,accuracy,normal_recall,anomaly_recall,macro_f1
carpet,224,last2,8,0.05,0.019374828785657883,0.8920545746388443,0.7777777777777778,0.6428571428571429,0.8202247191011236,0.7147411852963241
carpet,224,last2,8,0.1,0.016100000590085983,0.8856340288924558,0.7606837606837606,0.5,0.8426966292134831,0.6713483146067416
carpet,224,last2,14,0.01,0.026353012770414352,0.920545746388443,0.8290598290598291,0.75,0.8539325842696629,0.780570142535634
carpet,224,last2,14,0.03,0.02085922844707966,0.9173354735152488,0.8034188034188035,0.6071428571428571,0.8651685393258427,0.7332738626226583
carpet,224,last2,14,0.05,0.018434200435876846,0.9101123595505618,0.7948717948717948,0.5357142857142857,0.8764044943820225,0.7111111111111111
carpet,224,last2,14,0.1,0.015436407178640366,0.9012841091492777,0.7777777777777778,0.5,0.8651685393258427,0.687037037037037
carpet,224,last2,20,0.01,0.02828710526227951,0.9365971107544141,0.8376068376068376,0.7142857142857143,0.8764044943820225,0.7846973365617433
carpet,224,last2,20,0.03,0.022260818630456924,0.9221508828250401,0.8205128205128205,0.6785714285714286,0.8651685393258427,0.7620338983050847
carpet,224,last2,20,0.05,0.019634904339909554,0.9125200642054574,0.7948717948717948,0.5357142857142857,0.8764044943820225,0.7111111111111111
carpet,224,last2,20,0.1,0.01610564813017845,0.8992776886035312,0.7863247863247863,0.5,0.8764044943820225,0.6950901699155634
carpet,224,last3,8,0.01,0.03204163536429405,0.8475120385232745,0.7777777777777778,0.9642857142857143,0.7191011235955056,0.7530844155844156
carpet,224,last3,8,0.03,0.02631247229874134,0.8523274478330658,0.7777777777777778,0.8571428571428571,0.7528089887640449,0.7430743243243243
carpet,224,last3,8,0.05,0.02140202187001705,0.8471107544141253,0.7606837606837606,0.7857142857142857,0.7528089887640449,0.7191358024691359
carpet,224,last3,8,0.1,0.017765792086720467,0.8426966292134832,0.7264957264957265,0.5714285714285714,0.7752808988764045,0.6558823529411765
carpet,224,last3,14,0.01,0.030265437439084053,0.8796147672552167,0.8034188034188035,0.9285714285714286,0.7640449438202247,0.7743396226415095
carpet,224,last3,14,0.03,0.023831447586417198,0.8852327447833066,0.7777777777777778,0.8214285714285714,0.7640449438202247,0.7391975308641975
carpet,224,last3,14,0.05,0.020584415644407272,0.8808186195826645,0.7692307692307693,0.75,0.7752808988764045,0.7225296442687748
carpet,224,last3,14,0.1,0.01666394993662834,0.8711878009630818,0.7435897435897436,0.5357142857142857,0.8089887640449438,0.6637931034482758
carpet,224,last3,20,0.01,0.03117254376411438,0.9036918138041734,0.811965811965812,0.9285714285714286,0.7752808988764045,0.7826013513513514
carpet,224,last3,20,0.03,0.02426019310951233,0.8964686998394864,0.7777777777777778,0.75,0.7865168539325843,0.7305102763997166
carpet,224,last3,20,0.05,0.021266207098960876,0.8896468699839487,0.7777777777777778,0.7142857142857143,0.797752808988764,0.7256493506493507
carpet,224,last3,20,0.1,0.017467118799686432,0.8739967897271267,0.7606837606837606,0.5714285714285714,0.8202247191011236,0.6862068965517241
